Frequency (Hz)	Level (dB)
2343.750000	-38.727734
2359.375000	-39.627274
2375.000000	-40.295475
2390.625000	-40.697144
2406.250000	-41.086803
2421.875000	-41.425922
2437.500000	-42.075768
2453.125000	-42.242184
2468.750000	-42.622757
2484.375000	-42.822636
2500.000000	-43.026222
2515.625000	-43.302750
2531.250000	-43.545959
2546.875000	-43.469135
2562.500000	-43.556419
2578.125000	-43.552490
2593.750000	-43.562683
2609.375000	-43.510941
2625.000000	-43.260826
2640.625000	-43.195007
2656.250000	-43.110210
2671.875000	-43.278229
2687.500000	-43.177929
2703.125000	-42.790779
2718.750000	-42.375832
2734.375000	-41.995422
2750.000000	-41.353848
2765.625000	-40.659740
2781.250000	-40.775688
2796.875000	-39.885296
2812.500000	-38.823841
2828.125000	-37.488926
2843.750000	-36.296104
2859.375000	-34.972866
2875.000000	-33.164207
2890.625000	-31.378088
2906.250000	-29.299065
2921.875000	-27.755058
2937.500000	-26.762524
2953.125000	-27.420616
2968.750000	-29.452154
2984.375000	-31.842813
3000.000000	-33.730495
3015.625000	-35.478783
3031.250000	-37.169300
3046.875000	-38.268936
3062.500000	-39.211670
3078.125000	-39.960316
3093.750000	-40.652279
3109.375000	-41.079330
3125.000000	-41.827942
3140.625000	-42.579643
3156.250000	-43.067513
3171.875000	-43.313931
3187.500000	-43.459965
3203.125000	-44.164246
3218.750000	-44.494743
3234.375000	-44.704220
3250.000000	-44.652771
3265.625000	-44.763218
3281.250000	-44.793709
3296.875000	-45.085197
3312.500000	-45.367207
3328.125000	-45.310863
3343.750000	-44.864250
3359.375000	-44.690231
3375.000000	-44.312279
3390.625000	-44.274811
3406.250000	-43.841770
3421.875000	-43.575886
3437.500000	-43.260799
3453.125000	-42.886551
3468.750000	-41.968601
3484.375000	-41.377773
3500.000000	-41.098740
3515.625000	-40.319328
3531.250000	-39.314747
3546.875000	-38.269176
3562.500000	-37.229317
3578.125000	-35.853992
3593.750000	-34.138058
3609.375000	-32.138561
3625.000000	-30.013063
3640.625000	-28.138632
3656.250000	-27.628744
3671.875000	-28.056602
3687.500000	-29.700945
3703.125000	-31.627699
3718.750000	-33.621536
3734.375000	-35.305992
3750.000000	-36.928776
3765.625000	-38.133659
3781.250000	-38.781536
3796.875000	-39.532314
3812.500000	-40.547291
3828.125000	-41.354076
3843.750000	-41.686928
3859.375000	-42.194248
3875.000000	-42.613571
3890.625000	-42.808014
3906.250000	-43.139763
3921.875000	-43.324150
3937.500000	-43.449436
3953.125000	-43.868202
3968.750000	-44.133114
3984.375000	-43.951252
4000.000000	-43.973713
4015.625000	-44.044189
4031.250000	-43.855019
4046.875000	-43.991287
4062.500000	-43.761467
4078.125000	-43.596176
4093.750000	-43.895088
4109.375000	-43.866985
4125.000000	-43.636211
4140.625000	-43.106411
4156.250000	-42.717175
4171.875000	-42.302696
4187.500000	-42.054989
4203.125000	-41.662979
4218.750000	-41.265118
4234.375000	-40.534878
4250.000000	-39.773151
4265.625000	-38.966633
4281.250000	-38.439613
4296.875000	-37.596645
4312.500000	-36.690704
4328.125000	-35.441818
4343.750000	-34.691719
4359.375000	-33.398037
4375.000000	-32.457771
4390.625000	-32.037910
4406.250000	-32.166458
4421.875000	-32.559113
4437.500000	-33.745617
4453.125000	-35.359276
4468.750000	-36.519848
4484.375000	-37.805637
4500.000000	-38.790421
4515.625000	-40.007408
4531.250000	-40.933811
4546.875000	-41.619644
4562.500000	-42.519924
4578.125000	-43.496071
4593.750000	-44.020966
4609.375000	-44.802052
4625.000000	-45.290474
4640.625000	-45.682243
4656.250000	-45.971191
4671.875000	-46.634350
4687.500000	-46.927559
4703.125000	-47.149281
4718.750000	-47.471275
4734.375000	-47.926174
4750.000000	-48.071594
4765.625000	-48.227615
4781.250000	-48.473240
4796.875000	-48.558937
4812.500000	-48.399422
4828.125000	-48.620811
4843.750000	-48.793896
4859.375000	-48.543949
4875.000000	-48.420528
4890.625000	-48.362862
4906.250000	-48.273544
4921.875000	-47.889713
4937.500000	-47.742123
4953.125000	-47.117428
4968.750000	-46.889267
4984.375000	-46.372120
5000.000000	-45.947483
5015.625000	-45.325554
5031.250000	-44.338856
5046.875000	-43.123646
5062.500000	-42.224457
5078.125000	-41.071438
5093.750000	-39.553600
5109.375000	-38.337124
5125.000000	-37.249523
5140.625000	-36.666473
5156.250000	-36.914783
5171.875000	-38.271168
5187.500000	-40.163834
5203.125000	-41.867710
5218.750000	-43.302704
5234.375000	-44.575676
5250.000000	-46.209686
5265.625000	-47.325012
5281.250000	-48.063156
5296.875000	-48.725758
5312.500000	-49.692768
5328.125000	-50.533924
5343.750000	-51.442245
5359.375000	-51.873158
5375.000000	-52.317604
5390.625000	-52.925415
5406.250000	-53.448765
5421.875000	-53.580185
5437.500000	-53.848682
5453.125000	-54.296421
5468.750000	-54.173988
5484.375000	-54.498287
5500.000000	-54.623318
5515.625000	-54.580898
5531.250000	-54.640244
5546.875000	-54.718765
5562.500000	-54.799694
5578.125000	-54.904743
5593.750000	-54.685505
5609.375000	-54.503029
5625.000000	-54.280411
5640.625000	-53.923595
5656.250000	-53.511806
5671.875000	-53.464489
5687.500000	-52.805920
5703.125000	-52.228397
5718.750000	-51.607418
5734.375000	-50.935326
5750.000000	-49.921528
5765.625000	-49.593136
5781.250000	-48.154434
5796.875000	-46.683475
5812.500000	-45.419083
5828.125000	-43.537388
5843.750000	-42.014091
5859.375000	-41.550362
5875.000000	-41.841953
5890.625000	-42.922768
5906.250000	-44.747803
5921.875000	-46.332932
5937.500000	-47.758598
5953.125000	-49.254494
5968.750000	-50.765480
5984.375000	-52.139473
6000.000000	-53.295822
6015.625000	-54.176239
6031.250000	-54.805172
6046.875000	-55.322643
6062.500000	-55.899052
6078.125000	-56.585697
6093.750000	-57.302631
6109.375000	-57.888359
6125.000000	-57.924782
6140.625000	-58.390575
6156.250000	-58.981720
6171.875000	-59.142193
6187.500000	-59.158943
6203.125000	-59.621162
6218.750000	-60.089218
6234.375000	-60.152721
6250.000000	-60.118809
6265.625000	-59.952042
6281.250000	-60.230633
6296.875000	-60.230026
6312.500000	-60.498516
6328.125000	-60.585831
6343.750000	-60.129848
6359.375000	-60.325535
6375.000000	-60.139305
6390.625000	-59.667660
6406.250000	-59.271606
6421.875000	-58.825611
6437.500000	-58.364780
6453.125000	-57.904240
6468.750000	-57.019054
6484.375000	-56.318470
6500.000000	-55.347111
6515.625000	-54.333958
6531.250000	-53.040668
6546.875000	-51.900639
6562.500000	-50.730350
6578.125000	-49.875168
6593.750000	-49.699532
6609.375000	-50.665257
6625.000000	-52.183010
6640.625000	-54.058414
6656.250000	-55.978645
6671.875000	-57.886890
6687.500000	-59.049553
6703.125000	-60.540985
6718.750000	-61.933376
6734.375000	-63.103477
6750.000000	-64.084770
6765.625000	-65.114906
6781.250000	-66.094154
6796.875000	-66.734818
6812.500000	-67.678200
6828.125000	-68.441872
6843.750000	-69.277710
6859.375000	-69.811516
6875.000000	-70.326485
6890.625000	-70.932098
6906.250000	-71.392319
6921.875000	-72.130676
6937.500000	-72.717979
6953.125000	-73.089127
6968.750000	-73.526581
6984.375000	-73.740410
7000.000000	-74.230728
7015.625000	-74.671593
7031.250000	-75.160736
7046.875000	-75.511765
7062.500000	-75.768288
7078.125000	-76.019211
7093.750000	-75.897079
7109.375000	-76.218346
7125.000000	-76.414162
7140.625000	-76.542488
7156.250000	-76.606827
7171.875000	-76.365356
7187.500000	-76.082573
7203.125000	-76.100021
7218.750000	-75.949043
7234.375000	-75.278839
7250.000000	-74.592346
7265.625000	-74.178131
7281.250000	-74.109283
7296.875000	-73.814468
7312.500000	-73.772713
7328.125000	-74.695480
7343.750000	-75.845619
7359.375000	-77.680283
7375.000000	-79.692657
7390.625000	-81.913887
7406.250000	-83.735680
7421.875000	-85.419617
7437.500000	-87.124382
7453.125000	-88.419754
7468.750000	-89.805252
7484.375000	-91.000694
7500.000000	-91.954781
7515.625000	-92.911346
7531.250000	-93.952965
7546.875000	-94.721100
7562.500000	-95.252441
7578.125000	-96.156929
7593.750000	-96.697906
7609.375000	-97.770569
7625.000000	-99.014870
7640.625000	-100.041245
7656.250000	-101.529327
7671.875000	-102.972000
7687.500000	-104.985252
7703.125000	-106.964180
7718.750000	-109.372589
7734.375000	-111.624123
7750.000000	-114.554916
7765.625000	-117.547699
7781.250000	-121.009285
7796.875000	-124.694405
7812.500000	-128.406158
7828.125000	-132.716034
7843.750000	-137.843033
7859.375000	-143.578110
7875.000000	-149.283585
7890.625000	-154.867584
7906.250000	-160.561768
7921.875000	-163.836395
7937.500000	-164.971710
7953.125000	-165.215790
7968.750000	-165.394577
7984.375000	-165.445312
